,PageID,PageNo,Lang,XDPI,YDPI,PageStartX,PageStartY,PageWidth,PageHeight,BlockID,BlockType,BlockStartX,BlockStartY,BlockWidth,BlockHeight,LineID,LineStartX,LineStartY,LineWidth,LineHeight,WordID,WordValue,WordStartX,WordStartY,WordWidth,WordHeight,WordStyle,FontColor,FontSize,FontFamily,FontWeight,FontName,WordCN,CharList,BlockWordCount,BlockText,LineCount,AvgLineDensity,LineWordCount,LineText,WordStyleCount,WordDistance,AvgWordDistance,TextGroupSeparator
10,TM000001_0_1,0,en-us,300,300,0,0,2552,3496,3,Block,316,1313,517,35,0,316,1313,517,35,2,on,598,1321,37,20,2,,8, swiss,, arial,99,"[{u'CharWidth': 18, u'CharStartX': 598, u'CharStartY': 1321, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'o', u'CharHeight': 20}, {u'CharWidth': 17, u'CharStartX': 618, u'CharStartY': 1321, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'n', u'CharHeight': 20}]",6,"Opening balance on Jan 1, 2017",1,6,6,"Opening balance on Jan 1, 2017",1,12.0,11.5,False
11,TM000001_0_1,0,en-us,300,300,0,0,2552,3496,3,Block,316,1313,517,35,0,316,1313,517,35,3,Jan,647,1315,55,27,2,,8, swiss,, arial,999,"[{u'CharWidth': 15, u'CharStartX': 647, u'CharStartY': 1315, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'J', u'CharHeight': 27}, {u'CharWidth': 17, u'CharStartX': 666, u'CharStartY': 1322, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'a', u'CharHeight': 20}, {u'CharWidth': 15, u'CharStartX': 687, u'CharStartY': 1322, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'n', u'CharHeight': 20}]",6,"Opening balance on Jan 1, 2017",1,6,6,"Opening balance on Jan 1, 2017",1,12.0,11.5,False
12,TM000001_0_1,0,en-us,300,300,0,0,2552,3496,3,Block,316,1313,517,35,0,316,1313,517,35,4,"1,",718,1315,24,32,2,,8, swiss,, arial,99,"[{u'CharWidth': 10, u'CharStartX': 718, u'CharStartY': 1315, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'1', u'CharHeight': 27}, {u'CharWidth': 5, u'CharStartX': 737, u'CharStartY': 1337, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u',', u'CharHeight': 10}]",6,"Opening balance on Jan 1, 2017",1,6,6,"Opening balance on Jan 1, 2017",1,16.0,11.5,False
13,TM000001_0_1,0,en-us,300,300,0,0,2552,3496,3,Block,316,1313,517,35,0,316,1313,517,35,5,2017,756,1315,77,27,2,,8, swiss,, arial,9999,"[{u'CharWidth': 17, u'CharStartX': 756, u'CharStartY': 1315, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'2', u'CharHeight': 27}, {u'CharWidth': 17, u'CharStartX': 776, u'CharStartY': 1316, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'0', u'CharHeight': 26}, {u'CharWidth': 10, u'CharStartX': 798, u'CharStartY': 1316, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'1', u'CharHeight': 26}, {u'CharWidth': 16, u'CharStartX': 817, u'CharStartY': 1316, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 3, u'CharValue': u'7', u'CharHeight': 26}]",6,"Opening balance on Jan 1, 2017",1,6,6,"Opening balance on Jan 1, 2017",1,14.0,11.5,False
14,TM000001_0_1,0,en-us,300,300,0,0,2552,3496,4,Block,313,1383,195,28,0,313,1383,195,28,0,Withdrawals,313,1383,195,28,2,,8, swiss,, arial,99999999999,"[{u'CharWidth': 40, u'CharStartX': 313, u'CharStartY': 1383, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'W', u'CharHeight': 28}, {u'CharWidth': 3, u'CharStartX': 350, u'CharStartY': 1391, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'i', u'CharHeight': 20}, {u'CharWidth': 10, u'CharStartX': 356, u'CharStartY': 1385, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 2, u'CharValue': u't', u'CharHeight': 26}, {u'CharWidth': 16, u'CharStartX': 367, u'CharStartY': 1383, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 3, u'CharValue': u'h', u'CharHeight': 28}, {u'CharWidth': 16, u'CharStartX': 387, u'CharStartY': 1383, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 4, u'CharValue': u'd', u'CharHeight': 28}, {u'CharWidth': 11, u'CharStartX': 407, u'CharStartY': 1391, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 5, u'CharValue': u'r', u'CharHeight': 20}, {u'CharWidth': 18, u'CharStartX': 418, u'CharStartY': 1391, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 6, u'CharValue': u'a', u'CharHeight': 20}, {u'CharWidth': 26, u'CharStartX': 437, u'CharStartY': 1391, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 7, u'CharValue': u'w', u'CharHeight': 20}, {u'CharWidth': 17, u'CharStartX': 465, u'CharStartY': 1390, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 8, u'CharValue': u'a', u'CharHeight': 21}, {u'CharWidth': 4, u'CharStartX': 486, u'CharStartY': 1383, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 9, u'CharValue': u'l', u'CharHeight': 27}, {u'CharWidth': 16, u'CharStartX': 492, u'CharStartY': 1390, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 10, u'CharValue': u's', u'CharHeight': 21}]",1,Withdrawals,1,1,1,Withdrawals,1,0.0,0.0,True
15,TM000001_0_1,0,en-us,300,300,0,0,2552,3496,5,Block,317,1447,135,35,0,317,1447,135,35,0,Deposits,317,1447,135,35,2,,8, swiss,, arial,99999999,"[{u'CharWidth': 20, u'CharStartX': 317, u'CharStartY': 1447, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'D', u'CharHeight': 28}, {u'CharWidth': 17, u'CharStartX': 341, u'CharStartY': 1455, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'e', u'CharHeight': 20}, {u'CharWidth': 16, u'CharStartX': 362, u'CharStartY': 1455, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'p', u'CharHeight': 27}, {u'CharWidth': 17, u'CharStartX': 381, u'CharStartY': 1455, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 3, u'CharValue': u'o', u'CharHeight': 20}, {u'CharWidth': 16, u'CharStartX': 401, u'CharStartY': 1455, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 4, u'CharValue': u's', u'CharHeight': 20}, {u'CharWidth': 3, u'CharStartX': 420, u'CharStartY': 1447, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 5, u'CharValue': u'i', u'CharHeight': 28}, {u'CharWidth': 10, u'CharStartX': 426, u'CharStartY': 1448, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 6, u'CharValue': u't', u'CharHeight': 27}, {u'CharWidth': 15, u'CharStartX': 437, u'CharStartY': 1455, u'CharStyle': u'2', u'CharCN': u'9', u'CharID': 7, u'CharValue': u's', u'CharHeight': 20}]",1,Deposits,1,1,1,Deposits,1,0.0,0.0,True
16,TM000001_0_1,0,en-us,300,300,0,0,2552,3496,6,Block,315,1512,612,39,0,315,1512,612,39,0,Closing,315,1512,142,39,3,,9, swiss, bold, arial,9999999,"[{u'CharWidth': 26, u'CharStartX': 315, u'CharStartY': 1512, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'C', u'CharHeight': 30}, {u'CharWidth': 6, u'CharStartX': 345, u'CharStartY': 1512, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'l', u'CharHeight': 30}, {u'CharWidth': 22, u'CharStartX': 355, u'CharStartY': 1521, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'o', u'CharHeight': 21}, {u'CharWidth': 20, u'CharStartX': 378, u'CharStartY': 1521, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 3, u'CharValue': u's', u'CharHeight': 21}, {u'CharWidth': 6, u'CharStartX': 402, u'CharStartY': 1512, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 4, u'CharValue': u'i', u'CharHeight': 30}, {u'CharWidth': 19, u'CharStartX': 413, u'CharStartY': 1521, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 5, u'CharValue': u'n', u'CharHeight': 21}, {u'CharWidth': 20, u'CharStartX': 437, u'CharStartY': 1521, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 6, u'CharValue': u'g', u'CharHeight': 30}]",6,"Closing balance on Jan 31, 2017",1,6,6,"Closing balance on Jan 31, 2017",1,0.0,12.0,False
17,TM000001_0_1,0,en-us,300,300,0,0,2552,3496,6,Block,315,1512,612,39,0,315,1512,612,39,1,balance,473,1512,147,30,3,,9, swiss, bold, arial,9999999,"[{u'CharWidth': 22, u'CharStartX': 473, u'CharStartY': 1512, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'b', u'CharHeight': 30}, {u'CharWidth': 20, u'CharStartX': 497, u'CharStartY': 1521, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'a', u'CharHeight': 21}, {u'CharWidth': 6, u'CharStartX': 521, u'CharStartY': 1512, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'l', u'CharHeight': 30}, {u'CharWidth': 20, u'CharStartX': 531, u'CharStartY': 1521, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 3, u'CharValue': u'a', u'CharHeight': 21}, {u'CharWidth': 19, u'CharStartX': 553, u'CharStartY': 1521, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 4, u'CharValue': u'n', u'CharHeight': 21}, {u'CharWidth': 20, u'CharStartX': 577, u'CharStartY': 1520, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 5, u'CharValue': u'c', u'CharHeight': 22}, {u'CharWidth': 20, u'CharStartX': 600, u'CharStartY': 1520, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 6, u'CharValue': u'e', u'CharHeight': 22}]",6,"Closing balance on Jan 31, 2017",1,6,6,"Closing balance on Jan 31, 2017",1,16.0,12.0,False
18,TM000001_0_1,0,en-us,300,300,0,0,2552,3496,6,Block,315,1512,612,39,0,315,1512,612,39,2,on,632,1521,45,21,3,,9, swiss, bold, arial,99,"[{u'CharWidth': 23, u'CharStartX': 632, u'CharStartY': 1521, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'o', u'CharHeight': 21}, {u'CharWidth': 19, u'CharStartX': 658, u'CharStartY': 1521, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'n', u'CharHeight': 21}]",6,"Closing balance on Jan 31, 2017",1,6,6,"Closing balance on Jan 31, 2017",1,12.0,12.0,False
19,TM000001_0_1,0,en-us,300,300,0,0,2552,3496,6,Block,315,1512,612,39,0,315,1512,612,39,3,Jan,692,1513,65,30,3,,9, swiss, bold, arial,999,"[{u'CharWidth': 20, u'CharStartX': 692, u'CharStartY': 1513, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 0, u'CharValue': u'J', u'CharHeight': 30}, {u'CharWidth': 20, u'CharStartX': 715, u'CharStartY': 1521, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 1, u'CharValue': u'a', u'CharHeight': 21}, {u'CharWidth': 19, u'CharStartX': 738, u'CharStartY': 1521, u'CharStyle': u'3', u'CharCN': u'9', u'CharID': 2, u'CharValue': u'n', u'CharHeight': 21}]",6,"Closing balance on Jan 31, 2017",1,6,6,"Closing balance on Jan 31, 2017",1,15.0,12.0,False
